"","qb","rb","wr","te","ol","offense","idl","edge","lb","s","cb","defense","year","id"
"247",25787420,3152932,5904043,8917978,34322786,78085159,31946840,20928988,14097958,7531643,22491577,96997006,2020,23
"248",9578101,10593827,23209798,5105235,29353069,77840030,12796580,32876967,18224888,6926444,25002424,95827303,2020,24
"249",22173100,7162164,17888635,11517438,17340511,76081848,8975453,11670056,24254783,23730611,7944494,76575397,2020,25
"250",21143235,4636838,5094070,5735630,37529075,74138848,14842436,23435574,10601855,17618175,12168640,78666680,2020,26
"251",3605328,11650746,18485266,2423440,37449919,73614699,13774273,10921606,2456912,13468641,40532199,81153631,2020,27
"252",10741087,2359512,20094445,6041573,30068651,69305268,19884603,5678171,16895382,8641644,9088228,60188028,2020,28
"253",13738107,6117801,12934747,5150508,25769545,63710708,8882281,30859088,9004600,15602600,34531218,98879787,2020,29
"254",2218968,4284150,13008642,7035664,34059123,60606547,9629144,10129711,25064762,6022218,15313716,66159551,2020,30
"255",5966788,8155745,12794229,8389562,21439554,56745878,30689647,25887415,6799282,6137220,35677351,105190915,2020,31
"256",3983074,9025620,9316695,7139192,24536776,54001357,23618489,36419854,3752646,27037756,20138402,110967147,2020,32
"257",18682463,11606381,36722777,17525258,52509306,137046185,18559492,12492120,3040011,12449707,13894496,60435826,2021,1
"258",24843787,15500915,30602922,8360089,35260127,114567840,8107153,27706942,16523084,3988027,13407820,69733026,2021,2
"259",9075000,4181067,39036499,13433000,45104614,110830180,15570105,13843760,12318556,5976082,7265097,54973600,2021,3
"260",40016425,3373658,26813241,7179216,28637449,106019989,17324566,37319997,4312430,15204837,8298638,82460468,2021,4
"261",31200000,15456770,7109055,4386250,41530140,99682215,6643187,10907307,5236245,17713642,3973381,44473762,2021,5
"262",15940000,10462500,22177371,6836430,42580373,97996674,15425903,22461869,18992500,10941664,16733568,84555504,2021,6
"263",27023066,7363800,10526345,12254000,39289135,96456346,28619199,3281630,9709424,5857020,13897355,61364628,2021,7
"264",22974000,11822500,16533923,2532591,41799204,95662218,17748751,14583673,10962604,17162000,16686492,77143520,2021,8
"265",11603082,2476336,33167847,7335461,38834697,93417423,15979018,1734178,15696063,14139588,5669693,53218540,2021,9
"266",7295278,6902073,27101597,17723910,33066211,92089069,11368899,14053921,17027969,27051947,28670604,98173340,2021,10
"267",2041958,3821881,17554560,16211044,51272121,90901564,36937939,30488398,6029614,8425903,13789478,95671332,2021,11
"268",39420004,7607897,8264461,8002098,25343461,88637921,4862761,35148110,16565500,9007644,8463609,74047624,2021,12
"269",26912500,2783109,31882131,1984914,24977421,88540075,29823915,19391666,15816178,1866728,9057255,75955742,2021,13
"270",25548670,9379500,20134509,4469998,29005969,88538646,6856994,8473490,12995421,14335685,4608169,47269759,2021,14
"271",22295000,4117460,23944592,9198283,28468944,88024279,48963795,3691295,6061495,6989244,17279265,82985094,2021,15
"272",33440000,6064806,20673094,2690177,23988093,86856170,15485000,7168658,21937580,18630904,9698979,72921121,2021,16
"273",8687788,15029102,15874776,10445500,36733826,86770992,22497098,5166646,14121488,16719771,25609325,84114328,2021,17
"274",6012042,14541005,16728541,8615388,36883773,82780749,12651546,32607213,8164940,16089000,16909391,86422090,2021,18
"275",13161250,7559637,9536031,7536666,44780751,82574335,25621921,13274677,7972952,21509866,17888417,86267833,2021,19
"276",11432447,14459663,14898645,10940051,30248332,81979138,31310149,16551419,4703020,9202603,28539389,90306580,2021,20
"277",11203721,3278768,20569815,3878750,42737864,81668918,21765415,35893584,19349376,10968272,4468954,92445601,2021,21
"278",28100000,7218334,12588642,8535258,24003851,80446085,5740159,48219930,6081976,17103593,11034500,88180158,2021,22
"279",6666666,5991577,26038589,13232224,28401442,80330498,24431889,43057418,13673742,13275000,25663610,120101659,2021,23
"280",34300000,4010022,6353573,7687455,25908734,78259784,9633927,23893408,12841006,6593892,21938453,74900686,2021,24
"281",6960281,8305086,36191284,2220000,22743665,76420316,17266115,27366966,7090163,6059484,18970000,76752728,2021,25
"282",28007867,1986125,6423563,13490631,25168294,75076480,26337534,11771591,8508806,7566720,36118545,90303196,2021,26
"283",32320000,6194317,18950126,4861652,12680560,75006655,14797871,22182614,32624018,12355000,9191918,91151421,2021,27
"284",1723343,7873435,6557481,5384208,51569925,73108392,18880905,13420403,29079315,13403031,18868308,93651962,2021,28
"285",8615796,3477212,24961648,4869683,29316242,71240581,23628461,23550992,23852537,16012335,19281022,106325347,2021,29
"286",7540781,4108841,27178874,7483185,24678158,70989839,11002628,9937991,11374300,18216048,35957773,86488740,2021,30
"287",10378381,4011409,22732787,15020000,14883089,67025666,26843311,29005915,15097594,22740101,4267490,97954411,2021,31
"288",4683880,6381559,8240944,11626499,32166756,63099638,38667271,2395827,7639941,7632450,32862311,89197800,2021,32
