"","qb","rb","wr","te","ol","offense","idl","edge","lb","s","cb","defense","control","total","year","id"
"216",7833793,12744125,27327533,3376502,26680848,77962801,25498793,17794602,9961506,10155128,20683883,84093912,154222920,162056713,2019,24
"217",14055437,1792775,28561458,12492121,19864821,76766612,18306693,19067986,16116704,5683006,30304445,89478834,152190009,166245446,2019,25
"218",8296599,12140266,16674681,3588603,34014338,74714487,10667138,21964198,7709824,4786932,17466133,62594225,129012113,137308712,2019,26
"219",13149963,9322496,13956013,5508925,32106212,74043609,27738114,7443609,12613248,6361198,24220950,78377119,139270765,152420728,2019,27
"220",24395545,6283177,9197102,9028498,22616326,71520648,30399334,18490862,22276998,8586514,7357669,87111377,134236480,158632025,2019,28
"221",6713826,4562191,18785529,10198933,31194376,71454855,21159179,26135699,11160531,12774835,7549959,78780203,143521232,150235058,2019,29
"222",4187820,4647747,12405040,6811187,24600941,52652735,21429512,5276260,5177136,23587904,39039526,94510338,142975253,147163073,2019,30
"223",6936162,4939853,4509420,7329076,26251247,49965758,19079701,32887968,7801084,11185503,19461415,90415671,133445267,140381429,2019,31
"224",7119898,1989719,21269506,2790180,10059484,43228787,7091738,4500733,5242573,30648047,17524815,65007906,101116795,108236693,2019,32
"225",47105566,5629641,19610611,10806164,50913166,134065148,29317501,19644725,7983967,7437136,13393415,77776744,164736326,211841892,2020,1
"226",31625000,8300028,18214691,15657398,53138925,126936042,13236548,18222524,16390125,20138076,8384032,76371305,171682347,203307347,2020,2
"227",21452022,3762174,29943350,15435113,39993612,110586271,26475772,13051595,5348034,9032645,8624266,62532312,151666561,173118583,2020,3
"228",27556500,6969905,14176858,19792747,40217623,108713633,20612811,29946760,19483225,4118737,6785738,80947271,162104404,189660904,2020,4
"229",23182000,8686298,21162541,6544772,47116265,106691876,14054420,15690717,7625164,13768642,21504501,72643444,156153320,179335320,2020,5
"230",24645540,7058628,20521932,5301804,47239400,104767304,15375862,35768583,8225930,14695548,9592282,83658205,163779969,188425509,2020,6
"231",11937673,6893053,33178607,8176049,40583203,100768585,17914080,26132262,6861412,8729755,19017592,78655101,167486013,179423686,2020,7
"232",35728728,12355915,18148958,6554264,27902811,100690676,13809747,13774001,18954155,5243874,9660756,61442533,126404481,162133209,2020,8
"233",7250503,5099201,36777928,12578400,36669047,98375079,18388976,27380548,21534268,23192615,7893856,98390263,189514839,196765342,2020,9
"234",14334715,16353897,23107507,6027564,37592815,97416498,23808729,15729420,17873795,6583032,16539902,80534878,163616661,177951376,2020,10
"235",8756449,5465493,34088188,10368680,38644130,97322940,21223086,31426602,16719363,16659474,20736847,106765372,195331863,204088312,2020,11
"236",32063900,9951728,16222301,12094038,26646044,96978011,11979291,11274881,33886063,12326346,9927702,79394283,144308394,176372294,2020,12
"237",21507782,9372815,26854214,3078558,35991007,96804376,17819198,14691090,13006119,17770690,7025458,70312555,145609149,167116931,2020,13
"238",28656986,12651495,11274168,8237185,34553407,95373241,6427647,33179317,4658200,12992886,23135002,80393052,147109307,175766293,2020,14
"239",29615000,10071475,15878580,12711179,26828544,95104778,15509386,14776363,14017409,6835585,15982911,67121654,132611432,162226432,2020,15
"240",7882344,10305900,37184947,9965411,27247745,92586347,29271973,4182486,5961669,13144334,27676010,80236472,164940475,172822819,2020,16
"241",8405304,13923430,23880958,7419447,35630875,89260014,24137314,7323895,16794724,14908372,13037624,76201929,157056639,165461943,2020,17
"242",13077156,7122592,19513770,16077000,32040903,87831421,8722061,37402743,15450481,8080983,22250416,91906684,166660949,179738105,2020,18
"243",29742082,4617451,16494036,12714317,22942443,86510329,33835477,12064881,3154812,6219689,12460591,67735450,124503697,154245779,2020,19
"244",16294775,5188323,25075558,10102779,29765996,86427431,23369611,34953918,11570430,7673452,22163187,99730598,169863254,186158029,2020,20
"245",15601427,12031841,16714487,2979798,35976093,83303646,26270183,11266370,13111927,8963659,4327671,63939810,131642029,147243456,2020,21
"246",23776471,4561066,17671718,10449973,22917842,79377070,8469068,26497026,16088641,8317073,27875270,87247078,142847677,166624148,2020,22
"247",25787420,3152932,5904043,8917978,34322786,78085159,31946840,20928988,14097958,7531643,22491577,96997006,149294745,175082165,2020,23
"248",9578101,10593827,23209798,5105235,29353069,77840030,12796580,32876967,18224888,6926444,25002424,95827303,164089232,173667333,2020,24
"249",22173100,7162164,17888635,11517438,17340511,76081848,8975453,11670056,24254783,23730611,7944494,76575397,130484145,152657245,2020,25
"250",21143235,4636838,5094070,5735630,37529075,74138848,14842436,23435574,10601855,17618175,12168640,78666680,131662293,152805528,2020,26
"251",3605328,11650746,18485266,2423440,37449919,73614699,13774273,10921606,2456912,13468641,40532199,81153631,151163002,154768330,2020,27
"252",10741087,2359512,20094445,6041573,30068651,69305268,19884603,5678171,16895382,8641644,9088228,60188028,118752209,129493296,2020,28
"253",13738107,6048483,12934747,5150508,25769545,63641390,8882281,30859088,9004600,15602600,34531218,98879787,148783070,162521177,2020,29
"254",2218968,4284150,13008642,7035664,34261623,60809047,9629144,10129711,25064762,6022218,15313716,66159551,124749630,126968598,2020,30
"255",5966788,8155745,12794229,8389562,21439554,56745878,30689647,25887415,6799282,6137220,36177351,105690915,156470005,162436793,2020,31
"256",3938956,9025620,9316695,7139192,24536776,53957239,23618489,36419854,3752646,27037756,20138402,110967147,160985430,164924386,2020,32
"257",18682463,11476969,38683182,17525258,52524578,138892450,20751036,19258579,6699177,10849707,16619496,74177995,194387982,213070445,2021,1
"258",24843787,15500915,33253422,8614464,36280127,118492715,11807153,30206942,16523084,7963027,16058861,82559067,176207995,201051782,2021,2
"259",10545588,8418567,39036499,16433000,36742114,111175768,21307605,18843760,13306056,5976082,8255097,67688600,168318780,178864368,2021,3
"260",22023066,9363800,20126345,12103265,45254723,108871199,32839199,6336630,9764424,6839520,19092649,74872422,161720555,183743621,2021,4
"261",40016425,7838364,25812138,9563040,25075978,108305945,18547728,29922350,4312430,12546837,12361050,77690395,145979915,185996340,2021,5
"262",31200000,15456770,8859055,7386250,42977640,105879715,6643187,16966682,8734161,18663642,10882756,61890428,136570143,167770143,2021,6
"263",30323355,10699500,22409509,6662498,32013469,102108331,10011994,11315490,16085421,14335685,9065669,60814259,132599235,162922590,2021,7
"264",1808816,4756336,40364244,9129579,43917565,99976540,20434900,17296923,16476063,17051353,6544693,77803932,175971656,177780472,2021,8
"265",22113529,13464705,25764320,6380548,29952603,97675705,16183711,14269075,20417499,12608208,28320275,91798768,167360944,189474473,2021,9
"266",12540781,5858841,40450650,10183185,27353158,96386615,15809246,9937991,16434300,18216048,38207773,98605358,182451192,194991973,2021,10
"267",33440000,8764806,13773094,6690177,33061622,95729699,6591765,14258658,21937580,19618404,8448979,70855386,133145085,166585085,2021,11
"268",26912500,3957891,31882131,5294914,25964921,94012357,28673915,13754166,13198531,3216728,10044755,68888095,135987952,162900452,2021,12
"269",28950000,7218334,13603642,8713493,35030910,93516379,10162953,37853938,6931976,19815358,12964206,87728431,152294810,181244810,2021,13
"270",10062788,15079102,21362790,15975500,30721326,93201506,23484598,8654146,12628988,17639771,26585296,88992799,172131517,182194305,2021,14
"271",26650000,11507897,15278836,8989598,29636965,92063296,13153750,29008516,21065500,9995144,9588609,82811519,148224815,174874815,2021,15
"272",11115796,6076587,32235447,3607183,37712992,90748005,21128461,21560367,25060037,16012335,13400522,97161722,176793931,187909727,2021,16
"273",13761250,7215387,14811031,7520000,47353545,90661213,24698612,13274677,9810452,21499756,25174667,94458164,171358127,185119377,2021,17
"274",7810281,8305086,36191284,7640000,29343665,89290316,17266115,28866966,7020163,6059484,22265000,81477728,162957763,170768044,2021,18
"275",22974000,11822500,16533923,3832591,33873579,89036593,11305001,15683673,10962604,17162000,17736492,72849770,138912363,161886363,2021,19
"276",12191221,5028768,24069815,4866250,42457389,88613443,21765415,35198035,17171728,13930772,7481454,95547404,171969626,184160847,2021,20
"277",11666666,7116577,26038589,13232224,27738942,85792998,26431889,32707418,14661242,8892500,8248610,90941659,165067991,176734657,2021,21
"278",3601958,5344481,16774560,16211044,43732121,85664164,37887939,20548398,7779614,7706028,13789478,87711457,169773663,173375621,2021,22
"279",7212557,8103544,19939341,16732377,31334593,83322412,14429708,18813626,17664421,28713711,33918268,113539734,189649589,196862146,2021,23
"280",3848343,7023435,12854981,5352387,52782425,81861571,16794514,14407903,31044021,13540531,20033308,95820277,173833505,177681848,2021,24
"281",32320000,7044317,12370126,13399152,15713560,80847155,14797871,22182614,23655231,14089375,18179418,92904509,141431664,173751664,2021,25
"282",6012042,14208005,16728541,5062263,36883773,78894624,13448212,32607213,8164940,13110000,26432994,93763359,166645941,172657983,2021,26
"283",28007867,2906125,10143563,9586631,28230794,78874980,29377534,15419091,10156306,7566720,20648545,83168196,134035309,162043176,2021,27
"284",22295000,4117460,18041467,10118283,22968906,77541116,25630462,9191295,6061495,6989244,16479265,64351761,119597877,141892877,2021,28
"285",10378381,6461409,26703287,11187500,22806089,77536666,19009977,29993415,16661344,23952601,7651490,97268827,164427112,174805493,2021,29
"286",10385033,11131967,15773645,9900051,29108626,76299322,23230605,17320390,5690520,12213926,32337330,90792771,156707060,167092093,2021,30
"287",4683880,6381559,13240944,12507939,32166756,68981078,37067271,6383327,7310441,9287450,32862311,92910800,157207998,161891878,2021,31
"288",13900000,5635022,10698573,8674955,25908734,64817284,10002677,30143408,14591006,7581392,11658453,73976936,124894220,138794220,2021,32
