"","qb","rb","wr","te","ol","offense","idl","edge","lb","s","cb","defense","control","total","year","id"
"40",9024346,5275190,28597229,2453213,19150146,64500124,8558325,16269884,19901899,7286117,12603136,64619361,120095139,129119485,2014,8
"41",10278077,13954903,10289462,3870027,24118962,62511431,9823887,16318199,13041933,3934664,7924243,51042926,103276280,113554357,2014,9
"42",4907663,9457433,19869037,4412445,22861050,61507628,8117519,8070107,8574142,3124451,17795552,45681771,102281736,107189399,2014,10
"43",6114325,8372771,14014025,9364040,22908605,60773766,14858320,9959422,14238165,7042189,7623157,53721253,108380694,114495019,2014,11
"44",21008400,5120134,12922572,2083825,19002962,60137893,6171260,6942313,14546482,14367378,11998314,54025747,93155240,114163640,2014,12
"45",17031668,6083043,18606777,5509002,11871158,59101648,27994602,10114648,13479446,5342000,4023173,60953869,103023849,120055517,2014,13
"46",7082926,2678257,18448822,3831981,26783400,58825386,22282539,15092287,5082772,3143824,7461353,53062775,104805235,111888161,2014,14
"47",5402878,6138225,15118083,3321133,27006154,56986473,7501734,7897645,9264790,4571367,7604495,36840031,88423626,93826504,2014,15
"48",6035575,6896110,9394069,8033603,26321377,56680734,14188978,9059903,6628324,14007775,10683260,54568240,105213399,111248974,2014,16
"49",15446036,4537291,13923556,7369559,15395126,56671568,10516902,5631786,12844605,8593385,15181481,52768159,93993691,109439727,2014,17
"50",8786939,11495196,17692219,6165390,12179435,56319179,14297941,16416918,7815650,14822053,8579227,61931789,109464029,118250968,2014,18
"51",21333138,1669039,7942649,7847766,14731514,53524106,9360367,13428435,15222160,10751868,13352245,62115075,94306043,115639181,2014,19
"52",10928123,3654864,10856116,8253862,19718975,53411940,16160671,14597786,13702366,6534061,17739200,68734084,111217901,122146024,2014,20
"53",19273750,2878903,9395943,2464445,18882444,52895485,7465236,23761153,11140825,7570989,19240070,69178273,102800008,122073758,2014,21
"54",12764666,2815945,5655361,9965144,21402763,52603879,5927135,5288895,10078315,4115045,21287488,46696878,86536091,99300757,2014,22
"55",16676701,2653397,14667325,4410632,13774076,52182131,25825251,9394096,6943566,3473804,16867423,62504140,98009570,114686271,2014,23
"56",5512169,3929661,17087432,4133809,20487478,51150549,26581339,14179861,4809468,10665150,12689893,68925711,114564091,120076260,2014,24
"57",8743113,11891700,4162200,9273200,16431582,50501795,6505547,26696480,9299071,4944876,1839412,49285386,91044068,99787181,2014,25
"58",2807980,1529301,10771737,4683350,30648671,50441039,17269848,13935899,7257125,6699334,17398562,62560768,110193827,113001807,2014,26
"59",9554830,6308882,8703307,10592682,15272558,50432259,11745833,17144223,13828131,2960477,4986002,50664666,91542095,101096925,2014,27
"60",2227438,9949013,6213265,7351109,23339609,49080434,11876832,14437175,11003673,14824595,6488073,58630348,105483344,107710782,2014,28
"61",15578427,1891185,6901832,4991340,17657641,47020425,21184683,14137592,5493818,5389608,11857910,58063611,89505609,105084036,2014,29
"62",6126486,11520979,6857046,3098194,19208595,46811300,13808832,23537100,12589051,7300537,12531233,69766753,110451567,116578053,2014,30
"63",9779454,4019936,11976863,2894739,16559625,45230617,18595139,16302457,7916347,7474934,15753451,66042328,101493491,111272945,2014,31
"64",9471691,6996329,9015614,1400205,17354097,44237936,8198430,14641333,5264934,13433828,11631671,53170196,87936441,97408132,2014,32
"65",19067139,2115642,23083075,7984142,25231140,77481138,9780662,21029315,3297368,11305871,13543730,58956946,117370945,136438084,2015,1
"66",5245038,16960950,15700531,8705993,29660487,76272999,10108617,15465984,11870684,5565439,14643487,57654211,128682172,133927210,2015,2
"67",8997885,3242342,24335809,5451490,27764389,69791915,20732031,9316339,7356014,6696517,10756352,54857253,115651283,124649168,2015,3
"68",5192407,6431875,20552089,4191281,33201673,69569325,17349030,3696387,10546255,8846076,31508947,71946695,136323613,141516020,2015,4
"69",17392354,12012071,9224526,6878554,23951203,69458708,8704164,16527523,8452587,11129568,13900914,58714756,110781110,128173464,2015,5
"70",14791795,4340249,16040318,12066813,21165260,68404435,7937534,12837644,12503493,11471634,4536710,49287015,102899655,117691450,2015,6
"71",23002368,7201545,8556430,10790590,18814927,68365860,13709705,4619834,10188872,12240418,9571186,50330015,95693507,118695875,2015,7
"72",18498450,5554369,25484600,7702332,10416454,67656205,12313980,11899684,13578562,8736044,5062376,51590646,100748401,119246851,2015,8
"73",16725388,11448751,12781274,7560294,17921204,66436911,5097132,17841113,4210126,8796854,6925380,42870605,92582128,109307516,2015,9
"74",11834168,2946734,16186291,5182957,29469242,65619392,23944442,5601270,9462857,4181310,22409565,65599444,119384668,131218836,2015,10
"75",20208674,2086750,23948138,2839587,15191609,64274758,14046673,11391348,6048588,7655153,5104050,44245812,88311896,108520570,2015,11
"76",15429000,9847396,8456702,8146666,21230527,63110291,6489428,23632158,18067227,5187392,4940895,58317100,105998391,121427391,2015,12
"77",10238778,4040770,18726078,3962305,26041777,63009708,14160300,11753976,20598622,8119150,16808890,71440938,124211868,134450646,2015,13
"78",8194273,5564721,7847093,16447200,24810232,62863519,22356097,12025078,13628224,5375948,9416089,62801436,117470682,125664955,2015,14
"79",25358586,5692821,9440930,3887942,18404737,62785016,4811895,5489433,10157172,11168099,9757823,41384422,78810852,104169438,2015,15
"80",15240800,6883801,14975789,1889705,23070742,62060837,5124721,13672478,10989660,3336069,17527051,50649979,97470016,112710816,2015,16
"81",20090908,2917044,13021509,3295825,21065314,60390600,10632552,35680871,1045193,10790891,13207797,71357304,111656996,131747904,2015,17
"82",16944412,2913788,9824791,8910235,20756704,59349930,6445633,14548637,7764297,17048671,7299764,53107002,95512520,112456932,2015,18
"83",20358139,3265082,10701027,6131594,18800947,59256789,14557602,7727575,13207206,5560650,13377624,54430657,93329307,113687446,2015,19
"84",16983000,3636824,11395882,8455213,17609241,58080160,3212519,16676513,12864734,5252185,24161659,62167610,103264770,120247770,2015,20
"85",17234471,4458248,13805614,2762661,19757909,58018903,6591793,11474979,10783706,8880119,6467970,44198567,84982999,102217470,2015,21
"86",8093954,1964338,14792090,5193030,27241456,57284868,15138196,14097291,9223625,11656943,23514408,73630463,122821377,130915331,2015,22
"87",21476940,9656539,6172669,2273413,16685651,56265212,11816841,13645289,8095994,14112700,11077574,58748398,93536670,115013610,2015,23
"88",5218449,4573838,11865185,15475441,18702572,55835485,10316492,37018755,10685780,8220899,4293600,70535526,121152562,126371011,2015,24
"89",1918064,3907750,12243561,4799545,31155998,54024918,10429225,13003817,12767283,14730695,4515992,55447012,107553866,109471930,2015,25
"90",5965886,5081515,18129732,4336557,20141348,53655038,23969929,5445509,12188387,4087338,8260432,53951595,101640747,107606633,2015,26
"91",8554868,10635847,9888081,10063162,12810650,51952608,9600635,18100443,12650324,13893024,15557555,69801981,113199721,121754589,2015,27
"92",6357837,10875801,6411093,5702571,22553824,51901126,20580901,9018355,12609806,4828838,23059240,70097140,115640429,121998266,2015,28
"93",10966900,5547765,13153178,4034629,14365795,48068267,14935562,24983566,10511983,5801282,21055447,77287840,114389207,125356107,2015,29
"94",7625864,2623010,7039908,6819535,23159445,47267762,11620268,18738508,9272473,10861046,14670090,65162385,104804283,112430147,2015,30
"95",3732738,7707163,12781663,5735146,15086305,45043015,16827353,27384012,7282129,5657363,16809630,73960487,115270764,119003502,2015,31
"96",5017020,5286810,8113034,10447500,11157861,40022225,21122812,10312803,6083453,12937775,15939246,66396089,101401294,106418314,2015,32
"97",23926148,9073966,19837501,9867494,21408752,84113861,4585559,10409388,15942586,8367517,20670361,59975411,120163124,144089272,2016,1
"98",22237334,2428948,23519793,8387911,26070817,82644803,9823954,11615247,4179207,7736030,10733385,44087823,104495292,126732626,2016,2
"99",25334805,4433346,16885326,4133728,28392364,79179569,14224578,10044940,20449321,7261255,6603699,58583793,112428557,137763362,2016,3
